,Police_Force,Local_Authority__District_,1st_Road_Class,1st_Road_Number,Speed_limit,2nd_Road_Class,2nd_Road_Number,Year,Hour,Road_Type_One_way_street,Road_Type_Roundabout,Road_Type_Single_carriageway,Road_Type_Slip_road,Road_Type_Unknown,Junction_Control_Automatic_traffic_signal,Junction_Control_Giveway_or_uncontrolled,Junction_Control_Stop_Sign,Junction_Control_Unknown,Pedestrian_Crossing_Human_Control_Control_by_school_crossing_patrol,Pedestrian_Crossing_Human_Control_None_within_50_metres,Pedestrian_Crossing_Physical_Facilities_Footbridge_or_subway,Pedestrian_Crossing_Physical_Facilities_No_physical_crossing_within_50_meters,Pedestrian_Crossing_Physical_Facilities_Pedestrian_phase_at_traffic_signal_junction,Pedestrian_Crossing_Physical_Facilities_Zebra_crossing,Pedestrian_Crossing_Physical_Facilities_non_junction_pedestrian_crossing,Light_Conditions_Darkness__Street_lighting_unknown,Light_Conditions_Darkness__Street_lights_present_and_lit,Light_Conditions_Darkness__Street_lights_present_but_unlit,Light_Conditions_Daylight__Street_light_present,Weather_Conditions_Fine_without_high_winds,Weather_Conditions_Fog_or_mist,Weather_Conditions_Other,Weather_Conditions_Raining_with_high_winds,Weather_Conditions_Raining_without_high_winds,Weather_Conditions_Snowing_with_high_winds,Weather_Conditions_Snowing_without_high_winds,Weather_Conditions_Unknown,Road_Surface_Conditions_Flood__Over_3cm_of_water_,Road_Surface_Conditions_Frost_Ice,Road_Surface_Conditions_Snow,Road_Surface_Conditions_Unknown,Road_Surface_Conditions_Wet_Damp,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,month_name_August,month_name_December,month_name_February,month_name_January,month_name_July,month_name_June,month_name_March,month_name_May,month_name_November,month_name_October,month_name_September,season_Spring,season_Summer,season_Winter,Urban_or_Rural_Area_2,NEW_Is_Weekend_1,NEW_Late_Night_1,NEW_Is_Rural_1,NEW_Is_Dark_1,NEW_Bad_Weather_1,NEW_Bad_Road_Surface_1,NEW_Environmental_Risk_1,NEW_No_Street_Lighting_1,NEW_Junction_Uncontrolled_1,NEW_Ped_Risk_Proxy_1,NEW_Speed_Road_Mismatch_1,y_true,y_prob
912045,52.0,607,4.0,3140,30,6.0,0,2014.0,17.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,1,0.19935985288346358
88606,33.0,360,6.0,4105,30,-1.0,0,2009.0,19.0,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.19916726846746424
254511,36.0,404,4.0,1108,30,6.0,0,2010.0,15.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,1,0.19905308357550952
15732,1.0,15,6.0,0,30,3.0,12,2009.0,8.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0.1988026369710616
826480,7.0,128,4.0,5156,30,6.0,0,2014.0,15.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0.19814114572516872
333871,1.0,12,3.0,3220,30,3.0,1540,2011.0,23.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,1,0.19751338524175407
335650,1.0,10,3.0,3205,30,6.0,0,2011.0,18.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0.1972213446359729
857167,22.0,286,3.0,49,30,4.0,1540,2014.0,7.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,1,0.19702621341353552
788616,48.0,570,5.0,0,30,3.0,201,2014.0,10.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0.19674418666129453
159169,97.0,926,3.0,89,30,-1.0,0,2009.0,15.0,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.19656329646135154
