,y_prob,Speed_limit,Hour,NEW_Is_Dark_1,NEW_Is_Rural_1,NEW_Late_Night_1
912045,0.19935985288346358,30,17.0,True,False,False
88606,0.19916726846746424,30,19.0,False,False,False
254511,0.19905308357550952,30,15.0,False,False,False
15732,0.1988026369710616,30,8.0,False,False,False
826480,0.19814114572516872,30,15.0,False,False,False
333871,0.19751338524175407,30,23.0,True,False,False
335650,0.1972213446359729,30,18.0,False,False,False
857167,0.19702621341353552,30,7.0,True,True,False
788616,0.19674418666129453,30,10.0,False,False,False
159169,0.19656329646135154,30,15.0,False,False,False
