,Police_Force,Local_Authority__District_,1st_Road_Class,1st_Road_Number,Speed_limit,2nd_Road_Class,2nd_Road_Number,Year,Hour,Road_Type_One_way_street,Road_Type_Roundabout,Road_Type_Single_carriageway,Road_Type_Slip_road,Road_Type_Unknown,Junction_Control_Automatic_traffic_signal,Junction_Control_Giveway_or_uncontrolled,Junction_Control_Stop_Sign,Junction_Control_Unknown,Pedestrian_Crossing_Human_Control_Control_by_school_crossing_patrol,Pedestrian_Crossing_Human_Control_None_within_50_metres,Pedestrian_Crossing_Physical_Facilities_Footbridge_or_subway,Pedestrian_Crossing_Physical_Facilities_No_physical_crossing_within_50_meters,Pedestrian_Crossing_Physical_Facilities_Pedestrian_phase_at_traffic_signal_junction,Pedestrian_Crossing_Physical_Facilities_Zebra_crossing,Pedestrian_Crossing_Physical_Facilities_non_junction_pedestrian_crossing,Light_Conditions_Darkness__Street_lighting_unknown,Light_Conditions_Darkness__Street_lights_present_and_lit,Light_Conditions_Darkness__Street_lights_present_but_unlit,Light_Conditions_Daylight__Street_light_present,Weather_Conditions_Fine_without_high_winds,Weather_Conditions_Fog_or_mist,Weather_Conditions_Other,Weather_Conditions_Raining_with_high_winds,Weather_Conditions_Raining_without_high_winds,Weather_Conditions_Snowing_with_high_winds,Weather_Conditions_Snowing_without_high_winds,Weather_Conditions_Unknown,Road_Surface_Conditions_Flood__Over_3cm_of_water_,Road_Surface_Conditions_Frost_Ice,Road_Surface_Conditions_Snow,Road_Surface_Conditions_Unknown,Road_Surface_Conditions_Wet_Damp,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,month_name_August,month_name_December,month_name_February,month_name_January,month_name_July,month_name_June,month_name_March,month_name_May,month_name_November,month_name_October,month_name_September,season_Spring,season_Summer,season_Winter,Urban_or_Rural_Area_2,NEW_Is_Weekend_1,NEW_Late_Night_1,NEW_Is_Rural_1,NEW_Is_Dark_1,NEW_Bad_Weather_1,NEW_Bad_Road_Surface_1,NEW_Environmental_Risk_1,NEW_No_Street_Lighting_1,NEW_Junction_Uncontrolled_1,NEW_Ped_Risk_Proxy_1,NEW_Speed_Road_Mismatch_1,y_true,y_prob
88606,33.0,360,6.0,4105,30,-1.0,0,2009.0,19.0,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.11966356
568886,21.0,256,3.0,53,30,6.0,291,2012.0,13.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0.1195384
46105,10.0,150,3.0,690,40,6.0,1540,2009.0,13.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0.118591316
692911,13.0,200,6.0,0,30,-1.0,0,2013.0,16.0,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,True,False,1,0.118082695
897620,45.0,511,5.0,93,30,6.0,0,2014.0,7.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,1,0.117964335
385984,21.0,253,3.0,53,30,6.0,86,2011.0,10.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,1,0.11734104
757070,46.0,541,3.0,28,70,-1.0,0,2013.0,19.0,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False,False,1,0.11663265
389947,23.0,294,3.0,452,50,-1.0,-1,2011.0,8.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1,0.1165635
159247,97.0,926,3.0,803,40,6.0,0,2009.0,9.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,1,0.116134696
665016,1.0,8,5.0,0,30,6.0,0,2013.0,18.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,1,0.115723476
918674,55.0,645,6.0,0,30,6.0,0,2014.0,20.0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,1,0.11466128
452716,55.0,647,4.0,3078,30,-1.0,0,2011.0,14.0,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.11452271
752092,45.0,515,1.0,3,70,-1.0,0,2013.0,16.0,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,1,0.11439763
